archive	file	bytes	size_GB	md5	sha256	url
LA5c	LA5c_20260722-130855.tar.gz.partaa	5368709120	5.369	4fd5615b72fada13314fd58c5d97e88a	be30e23d6c5476e74bd4bf07abe90a6d81864c959d6441f9039d5dd3cd1894a4	https://zenodo.org/api/records/21269864/files/LA5c_20260722-130855.tar.gz.partaa/content
LA5c	LA5c_20260722-130855.tar.gz.partab	5368709120	5.369	ca3b2217d03c4e5795e461b469b095fe	873e800319797506a9c6a51d335610e703e10c4e8c6b6b796122880a1ff9a472	https://zenodo.org/api/records/21269864/files/LA5c_20260722-130855.tar.gz.partab/content
LA5c	LA5c_20260722-130855.tar.gz.partac	5368709120	5.369	31cae6cfaa9e8364850b959bc7eb2584	aad78851017f1135766b2cef520e800109e9508bf7c2c2c4cef85408a1d2025c	https://zenodo.org/api/records/21269864/files/LA5c_20260722-130855.tar.gz.partac/content
LA5c	LA5c_20260722-130855.tar.gz.partad	5368709120	5.369	98dc692133e39be0b28e01e51a64b8df	fb052c4f9b7b1b0e313d7177e70a9b6b0a15f14514743ef324cf1046d0ff297e	https://zenodo.org/api/records/21269864/files/LA5c_20260722-130855.tar.gz.partad/content
LA5c	LA5c_20260722-130855.tar.gz.partae	3668060275	3.668	46f8e22574e22d64b1eda2cff3b36aa7	33b0ffbd090cae2ed8f0f0c20ad90455143225e67198f6862ed5ee8318d7a581	https://zenodo.org/api/records/21269864/files/LA5c_20260722-130855.tar.gz.partae/content
TCP	TCP_20260722-130902.tar.gz.partaa	5368709120	5.369	c82368db248d5487056b116cd18cf5a6	a6a36cbd02fc80e52aa991c7a6aae4e822931856c568402f1ad3f8d199a36890	https://zenodo.org/api/records/21269864/files/TCP_20260722-130902.tar.gz.partaa/content
TCP	TCP_20260722-130902.tar.gz.partab	5368709120	5.369	9fae3f0be1f2f5cad94096e3bbb00fba	68c47ad2405dfacd410df2d9b389a730e22ce9100cddf47fe2bdbba646a8114a	https://zenodo.org/api/records/21269864/files/TCP_20260722-130902.tar.gz.partab/content
TCP	TCP_20260722-130902.tar.gz.partac	5368709120	5.369	89e9f755134aa31e3aa749b203f41885	4fe18b3b567818ba74c2ca0a9dfe641b61ceb6139d5fc7b56fe5504513696bd2	https://zenodo.org/api/records/21269864/files/TCP_20260722-130902.tar.gz.partac/content
TCP	TCP_20260722-130902.tar.gz.partad	5368709120	5.369	59c5029b039004342c56d44aaaec5999	309b342f13c8dd162f23c5c1d1457217525f5e7d8a1f0648c7f1279e6e2cb6f6	https://zenodo.org/api/records/21269864/files/TCP_20260722-130902.tar.gz.partad/content
TCP	TCP_20260722-130902.tar.gz.partae	158185023	0.158	448d4f0736d56570af28be7530d76f08	adf68d5a0a9bc8c7d41acacbaa855e141e4ec4422d954cee50d6a1ace642556c	https://zenodo.org/api/records/21269864/files/TCP_20260722-130902.tar.gz.partae/content
